0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.13000354,-0.55000585,-1.0400009,-0.15000123,0.20000315,0.16000462,0.12000328,-0.47999427,-0.18999991,0.8399977,0.11000425,0.19000578,-1.9800012,-0.38999906,-0.1999979,-1.6599991,-0.18999863,0.8200099,-1.450004,0.45000368
-0.08000347,0.7899914,0.13000403,-0.019993827,-1.0400026,0.71998334,-0.49999556,-0.22999248,-0.27999756,0.9199873,-0.0799946,-0.27999425,-1.3299983,-0.50999665,0.1600003,-0.72999704,-1.2299976,1.310044,-1.5399967,0.43999597
-0.30999586,0.07000306,-1.1800002,0.050000403,-0.6400013,0.010005388,0.43000406,-0.31999603,-0.6099998,0.29000044,-0.30999598,0.0800055,-0.9899997,-0.64000154,0.6000024,-0.5299983,0.36000314,0.56999415,-2.8599994,0.88999784
-0.44999912,0.14000581,-0.83999896,0.060006805,-1.3599993,0.42999938,-0.13999644,0.6700013,-0.33999932,0.63999146,0.43000224,0.10000484,-1.4899994,-0.5199995,-0.48999807,-0.81000006,-0.4499973,0.4399996,-2.3499987,0.68000084
-0.29999846,-0.059995644,-0.78000116,0.23000371,-0.18000305,0.70999306,0.13000299,-0.06999477,-0.34999996,0.5700014,0.27000153,-0.21999583,-0.75,-0.9400068,-0.47999835,-0.91000044,-0.62999797,1.4900382,-2.2300007,0.7399999
2.6263297e-06,0.10000442,-0.57000315,0.040003475,-1.2000021,0.7099996,-0.12999701,0.020004157,-1.1199998,0.38000342,0.54999715,-0.10999806,-1.2799997,-0.81000143,-0.43999904,-0.76999944,-0.88999856,0.19000264,-2.4099998,0.8699938
-0.48999548,-0.2099922,-0.6899971,0.010005973,-0.009996526,1.1400245,0.20000198,-0.7199925,-0.6800015,0.19000682,0.29999992,-0.07999684,-1.6200011,-0.06999385,-0.36000118,-1.2799985,-0.8699978,1.3700658,-1.1300025,-0.1399925
-0.42999732,-0.049996175,-1.1200014,0.24000502,-0.8500022,0.8500049,-0.34999695,-0.22999516,-1.4500006,0.6899991,0.09999689,0.13000557,-1.3799999,-0.4999994,-1.199998,-1.0400001,-0.5099975,1.0200205,-2.3799999,-0.26999474
-0.10999893,0.670003,-0.9000035,0.42000553,-0.78000015,0.560001,-0.19999592,0.06000596,-0.81000024,0.5300042,0.030003719,0.23000458,-0.6799994,-0.5099975,-1.1999981,-0.30999956,-0.60999715,0.7899936,-2.0100002,0.7399928
0.15000395,-0.5399964,-1.3900044,-0.40999803,-0.78000754,0.579991,1.1200025,0.11000552,0.11000281,0.75999963,0.45000392,0.5300055,-0.009999588,-0.18999583,0.48000258,-0.32999852,0.32000285,0.31000173,-1.7700032,0.5800023
-0.40999913,0.16000825,-1.0699962,0.7100066,-0.50999904,0.47000626,-0.05000053,0.77000433,0.23000115,0.68999517,0.34000558,0.30000815,-0.21000081,-0.28999978,0.7400033,-0.9799984,-0.039995976,0.6499909,-1.6099962,0.6000033
0.24000406,-0.1499973,-0.31000367,-0.42999938,-0.08000377,1.2199981,0.5700034,-0.29999676,-0.28999892,0.41000208,0.17000356,-0.21999407,-1.489999,0.060002957,-1.1699978,-0.14999783,-0.48999694,0.73998916,-1.4800026,0.88999444
-0.41999498,0.26000538,-1.8299979,0.53000563,-0.8799993,0.90999436,0.029999591,0.3100066,0.2900033,0.46000734,-0.13999477,0.18000618,-0.04999946,-0.27000335,1.360003,-0.40999883,0.08000393,1.3100361,-0.99999946,0.06000734
-0.59,-0.70000005,-0.3,-0.6,-0.39,-0.70000005,-0.70000005,-0.6,-0.5,-0.70000005,-0.6,-0.6,-0.4,-0.6,-0.48999998,-0.6,-0.5,-0.70000005,-0.4,-0.5
-0.19999999,-0.5,-0.58,-0.5,-0.22999996,-0.07999999,-0.6000001,-0.47999996,-0.54,-0.35999995,-0.39999998,-0.56,-0.34,-0.03999999,-0.39999998,-0.38,-0.22,-0.31999993,-0.2,-0.58000004
-0.43999997,-0.55,-0.15,-0.6700001,-0.16999999,-0.85000014,-0.5400001,-0.6500001,-0.18,-0.85000014,-0.48,-0.45,-0.27,-0.22,-0.22999999,-0.34,-0.38,-0.9500003,0.15,-0.7500001
-0.3799949,0.56999993,-0.67999816,-0.15999474,0.06000186,0.59999096,-0.43999633,-0.3799953,-1.5400014,0.639998,0.28000507,-0.7299962,-1.9100002,-1.1300068,-1.3499972,-0.78999895,-0.1599959,1.3000467,-0.9000015,0.27000672
